train_size,order_strategy,column_order,dag_used,repetition,categorical,max_corr_difference,mean_corr_difference,propensity_metrics_avg pMSE,propensity_metrics_pMSE err,propensity_metrics_avg acc,propensity_metrics_acc err,k_marginal_tvd
20,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",9,False,1.942890293094024e-14,3.3676765080296414e-15,0.0012833214864258692,0.00018999761944452816,0.5339501775660038,0.00959291661303236,0.12200000000000001
20,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",9,False,1.9539925233402755e-14,9.71445146547012e-15,0.0013524805707882085,7.863191186257029e-05,0.5211369171214176,0.003866103689868413,0.09100000000000001
20,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",9,False,2.220446049250313e-16,3.700743415417188e-17,0.0003904634431507037,6.203116171948092e-05,0.5108889854474882,0.007767513828548824,0.14991666666666667
20,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",9,False,1.9539925233402755e-14,6.5133084111342514e-15,0.0015379817614550645,0.00015958598998741118,0.5268425144078268,0.005272028050398814,0.11133333333333335
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",0,False,1.9539925233402755e-14,3.3306690738754696e-15,0.002605427340802794,0.00026433615918131364,0.5282168028536048,0.01059555270754283,0.20174999999999998
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",0,False,1.9539925233402755e-14,9.71445146547012e-15,0.0030738210259780253,0.0003340540361837983,0.5431239365893266,0.00926571443428291,0.20675
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",0,False,2.220446049250313e-16,9.251858538542972e-17,0.0038391779755090677,0.00014981883104442603,0.5461892928855425,0.008010249651185781,0.20408333333333337
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",0,False,1.9539925233402755e-14,6.5133084111342514e-15,0.004020502798539561,0.0002801022457448944,0.5578366532871962,0.010315894993607229,0.20183333333333334
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",1,False,1.9539925233402755e-14,3.293661639721298e-15,0.0054483014067615975,0.00036657675413293554,0.5737073928614517,0.010601279126983785,0.14083333333333334
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",1,False,1.9539925233402755e-14,9.732955182547206e-15,0.0034561024145595407,0.00020702575289746058,0.555345985380393,0.007591167332959964,0.11858333333333336
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",1,False,1.9539925233402755e-14,7.401486830834377e-17,0.0055702510651577265,0.0003749261420038703,0.5676613578673767,0.007221094625352052,0.12725
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",1,False,1.9539925233402755e-14,6.5133084111342514e-15,0.003644743744718993,0.00022845978145793664,0.5490646924897155,0.004049019019889729,0.12466666666666666
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",2,False,1.9539925233402755e-14,3.3121653567983835e-15,0.003981800564067645,0.00029953066374565924,0.5622430230713261,0.00489128242628587,0.14141666666666666
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",2,False,1.9539925233402755e-14,9.732955182547206e-15,0.00621267401872173,0.00014757454428066812,0.5691838188162365,0.0025190994460502878,0.15758333333333335
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",2,False,1.9539925233402755e-14,7.401486830834377e-17,0.004777985331650062,0.00038923072676115805,0.5673704569910418,0.010821985414145167,0.14983333333333335
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",2,False,1.942890293094024e-14,6.5133084111342514e-15,0.006071556333761658,0.00031986711105524117,0.5678091204366322,0.0028132794543342865,0.15791666666666668
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",3,False,1.965094753586527e-14,9.843977485009722e-15,0.002671518596596646,0.00011306125935539746,0.5420426950681385,0.007536329943832606,0.12066666666666666
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",3,False,1.9539925233402755e-14,9.751458899624291e-15,0.0030528582871984775,0.000123024010359403,0.5514466927357262,0.010487904694043376,0.12741666666666668
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",3,False,2.220446049250313e-16,3.700743415417188e-17,0.0028050539606188827,0.0002786396970651309,0.5514751469893825,0.005727898804150203,0.13158333333333336
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",3,False,1.9539925233402755e-14,6.494804694057166e-15,0.0034078428736947384,0.00018547197742822987,0.5488391748646485,0.007217581498280205,0.13308333333333333
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",4,False,2.220446049250313e-16,1.850371707708594e-17,0.00294121761894066,0.00021148505238804258,0.5381460651555555,0.0036167096033042517,0.09216666666666667
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",4,False,1.9539925233402755e-14,9.71445146547012e-15,0.004126854408205716,0.0002468051465312066,0.5429465870820465,0.010397177049736299,0.08600000000000001
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",4,False,1.9539925233402755e-14,7.401486830834377e-17,0.003773476975519766,0.00015389093092760793,0.5490357843946618,0.0020240654834271002,0.10024999999999999
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",4,False,1.9539925233402755e-14,6.494804694057166e-15,0.004276560663628963,0.00016479762718189396,0.5438410216190318,0.0052122641348671325,0.10166666666666668
